"type","group_code","job_title_id","title","service","personnel_category","military_occupation_id","service_code_type","code_status","service_title","status"
"LABOR","2500","2502","Telecommunications Mechanic","Air Force","Enlisted","3C2X1","AFSC","Active","Network Integration",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Air Force","Enlisted","3D0X0","AFSC","Active","Cyber Operations",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Air Force","Enlisted","3D0X2","AFSC","Active","Cyber Systems Operations",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Air Force","Enlisted","3D1X0","AFSC","Active","Cyber Systems",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Air Force","Enlisted","3D1X1","AFSC","Active","Client Systems",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Air Force","Enlisted","3D1X7","AFSC","Active","Cable and Antenna Systems",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Enlisted","13C","MOS","Active","Tactical Automated Fire Control Systems Specialist",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Enlisted","13E","MOS","Active","Cannon Fire Direction Specialist",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Enlisted","13F","MOS","Active","Fire Support Specialist",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Enlisted","13R","MOS","Active","Field Artillery (FA) Firefinder Radar Operator",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Officer","24A","AOC","Active","Telecommunications Systems Engineer",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Officer","24X","AOC","Active","Designated Telecommunications Systems Engineer",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Enlisted","25F","MOS","Active","Network Switching Systems Operator-Maintainer",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Enlisted","25L","MOS","Active","Cable Systems Installer-Maintainer",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Enlisted","25R","MOS","Active","Visual Information Equipment Operator-Maintainer",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Enlisted","25U","MOS","Active","Signal Support Systems Specialist",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Enlisted","25V","MOS","Active","Combat Documentation/Production Specialist",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Enlisted","25W","MOS","Active","Telecommunications Operations Chief",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Enlisted","25X","MOS","Active","Senior Signal Sergeant",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Warrant Officer","352P","MOS","Active","Voice Intercept Technician",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Army","Enlisted","94F","MOS","Active","Computer/Detection Systems Repairer",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Coast Guard","Enlisted","IT","PAY CODE","Active","Information Systems Technician",NULL
