"type","group_code","code","name","url","status","description","footnote"
"LABOR","2500","2502","Telecommunications Mechanic","http://www.opm.gov/fedclass/fws2502.pdf",NULL,"This standard is for grading nonsupervisory jobs involved in installing, modifying, troubleshooting, repairing, and maintaining voice and nonvoice communication systems including central office, private branch automatic exchanges (PBAXs), local area network systems, telephone sets, wire carrier equipment, communication cable, alarm systems, intercom and public address systems, and teletype equipment. The work requires knowledge of telephone and data circuitry equipment and installation procedures; knowledge of basic electrical and electronic principles as they pertain to voice and nonvoice transmissions; the ability to understand and follow such technical guidance as circuit descriptions, schematics, and layout sheets; and the ability to locate and repair trouble within the telecommunications system. ",1
"LABOR","2500","2504","Wire Communications Cable Splicing",NULL,NULL,"This occupation includes jobs involved in splicing; diagnosing trouble; repairing; and testing aerial, ground, underground, and/or submarine multiple-conductor cables.",NULL
"LABOR","2500","GROUP","WIRE COMMUNICATIONS EQUIPMENT INSTALLATION AND MAINTENANCE FAMILY","http://www.opm.gov/fedclass/html/fwseries.asp#2500",NULL,"This job family includes occupations involved in the construction, installation, maintenance, repair, and testing of all types of wire communications systems and associated equipment that are predominantly electrical-mechanical.  Work involved in the installation and repair of communications equipment that requires in-depth knowledge of operating electronic principles should be coded to the electronic equipment installation and maintenance family, 2600.",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","http://www.opm.gov/fedclass/fws2602.pdf",NULL,"This standard covers nonsupervisory work involved in maintenance, repair, calibration, and certification of electronic test, measurement, and reference equipment used for precise measurement of a variety of electrical and electronic values, quantities, and relationships such as voltage, resistance, capacitance, frequency, and inductance.  This equipment is also used to maintain and assure the functional accuracy and operational precision of industrial, experimental, airborne, marine, and ground electronic systems and equipment.  This work requires a working knowledge and practical application of electronic principles and the ability to perform precise measurement of electrical and electronic values, quantities, and relationships.  The work also requires skill in performing such processes as troubleshooting, repairing, modifying, overhauling, testing, installing, and calibrating a variety of measurement equipment, instruments, and consoles. ",1
"LABOR","2600","2604","Electronics Mechanic","http://www.opm.gov/fedclass/fws2604.pdf",NULL,"This standard is for grading nonsupervisory jobs involved in fabricating, overhauling, modifying, installing, troubleshooting, repairing, and maintaining ground, airborne, and marine electronic equipment, such as: radio; radar; sonar; cryptographic; satellite; microwave; micro computers and peripherals; laser; infrared; industrial x-ray; marine, aeronautical, and space navigation aid; TV receiver; surveillance; and similar devices.  The work requires knowledge of electronic principles; the ability to recognize improper operation, locate the cause, and determine the best method to correct the defect; and the skill to disassemble, assemble, and adjust electronic equipment.  The work includes using both manual and automated test equipment.  The work may require the use of a personal computer and numerous software packages to program or realign various components or systems, download information, and detect equipment deficiencies. ",1
"LABOR","2600","2606","Electronic Industrial Controls Mechanic","http://www.opm.gov/fedclass/fws2606.pdf",NULL,"This standard covers nonsupervisory work involved in the installation, maintenance, troubleshooting, repair, and calibration of electronic controls and indicating and recording systems used on industrial machinery or engines, in automated materials storage and handling systems, in aircraft engine and similar test facilities, or in energy monitoring and control systems. This work requires knowledge of the practical application of electronics theories and circuits that are applicable to power, timing, motion control, indicating devices, and pulse and counting mechanisms, including special purpose digital computers (microprocessors) dedicated to control functions, as well as a knowledge of industrial equipment operation and processes. ",1
"LABOR","2600","2608","Electronic Digital Computer Mechanic",NULL,NULL,"This occupation includes jobs involved in the repair, troubleshooting, calibration, and testing of electronic digital computer systems and their components and peripheral devices when used for scientific engineering or administrative computation and recordkeeping; includes repairing and maintaining computer subsystems/components of integrated aircraft and weapons control systems where the work does not require considering the interaction of the items worked on with the total integrated system.  The work requires knowledge of the operating electronic principles and mechanics of the computer and auxiliary components, understanding of computer logic, and ability to use a variety of electronic test equipment.",NULL
"LABOR","2600","2610","Electronic Integrated Systems Mechanic","http://www.opm.gov/fedclass/fws2610.pdf",NULL,"This standard covers nonsupervisory jobs involved in rebuilding, overhauling, installing, troubleshooting, repairing, modifying, calibrating, aligning, and maintaining integrated electronic systems, i.e., where the output of a number of sensor subsystems is integrated in a logic subsystem and the resultant used to modify the operation of the total system.  Examples are: fire control, flight/landing control, automatic test equipment, flight simulators, combing navigation, and electronic warfare or multiple integrated electronic systems composed of several of these systems which are closely interrelated and interdependent.  This work requires knowledge of electronics principles involved in a number of applications such as radar, data processing, and data display and usually mechanical and hydraulic knowledges involved in operation of equipment such as control valves, gyros, turrets and mounts, and mechanical computing devices. ",1
"LABOR","2600","GROUP","ELECTRONIC EQUIPMENT INSTALLATION AND MAINTENANCE FAMILY","http://www.opm.gov/fedclass/html/fwseries.asp#2600",NULL,"This job family includes occupations involved in the installation, repair, overhaul, fabrication, tuning, alignment, modification, calibration, and testing of electronic equipment and related devices such as radio, radar, loran, sonar, television, and other communications equipment; industrial controls; fire control, flight/landing control, bombing-navigation, and other integrated systems; and electronic computer systems and equipment.",NULL
"LABOR","2800","2805","Electrician","http://www.opm.gov/fedclass/fws2805.pdf",NULL,"This standard is used to grade all nonsupervisory jobs involved in the installation, maintenance, troubleshooting, and repair of electrical wiring systems, fixtures, controls, and equipment in industrial, institutional, office, and residential buildings, and on ships.  These jobs require knowledge and application of electrical principles, materials, and safety standards. ",1
