"service","category","code","type","status","title","description","moc_url"
"Air Force","Enlisted","1A0X1","AFSC","Active","In-Flight Refueling","Performs in-flight refueling aircrew functions and activities according to flight manuals, checklists, and Unites States Air Force publications.",NULL
"Air Force","Enlisted","1A1X1","AFSC","Active","Flight Engineer","Performs aircraft visual inspections and in-flight duties. Operates and monitors engine and aircraft systems controls, panels, indicators and devices. Manages flight engineer functions and activities.",NULL
"Air Force","Enlisted","1A2X1","AFSC","Active","Aircraft Loadmaster","Accomplishes preflight and post-flight of aircraft and aircraft systems. Receives cargo/passenger load briefings, checks placement of cargo/passengers against aircraft limitations/restrictions, determines adequacy of cargo documentation. If required, load plans cargo/passenger loads. Supervises cargo/passenger loading and offloading activities. Determines cargo placement and restraint requirements and directs and checks the placement of restraint equipment. Computes aircraft weight and balance. Demonstrates use of life support equipment. Accomplishes passenger comfort activities during flight. Performs aircrew functions and other mission specific qualification duties to include the airdrop of personnel and equipment/cargo.",NULL
"Air Force","Enlisted","1A3X1","AFSC","Active","Airborne Mission Systems","Performs aircrew duties on numerous airborne platforms. Operates, maintains, repairs, and tests airborne communications, sensor, computer, and electronic systems. Performs preflight, in-flight, and postflight duties. Supervises and instructs personnel in operation, maintenance, repair, and test procedures. Establishes, manages and supervises airborne mission system operation and directs aircrew training.",NULL
"Air Force","Enlisted","1A4X1","AFSC","Active","Airborne Operations","Operates airborne operations mission equipment, systems, electro-optical sensor systems, and electronic protection (EP) equipment. Gathers, records, displays, and distributes mission information. Interprets computer-generated displays and alarms. Performs and assists in mission planning. Maintains publications and currency items. Maintains communications nets with ground, air, and maritime units. Performs airborne operations functions under training and operational conditions. Manages, supervises, trains, provides expertise, and evaluates activities. Performs staff functions. Promotes and instills situational awareness in all aspects of airborne operations.",NULL
"Air Force","Enlisted","1A6X1","AFSC","Active","Flight Attendant","Provides for safety of passengers. Plans, coordinates, and manages cabin duties. Performs aircrew functions. Manages flight attendant activities and related duties.",NULL
"Air Force","Enlisted","1A7X1","AFSC","Active","Aerial Gunner","Inspects, operates, and secures armament systems and subsystems, and performs aircrew functions under training, combat, or testing conditions. Instructs unit gunners concerning airborne weapon systems, procedures, and tactics.",NULL
"Air Force","Enlisted","1A8X0","AFSC","Active","Airborne Intelligence, Surveillance and Reconnaissance (ISR)","Manages, supervises and performs airborne ISR operations. Flies as primary aircrew onboard a wide variety of aircraft to operate, evaluate and manage airborne ISR information and related ground processing systems. Performs identification, acquisition, recording, analysis and reporting of assigned ISR tasks. Provides ISR threat warning support and interfaces with other units. Performs and assists with mission planning. Maintains assigned publications and currency items. Participates in theater and tactical-level ISR coordination networks. Processes, analyzes and disseminates ISR information obtained from onboard sensors during missions in progress.",NULL
"Air Force","Enlisted","1A8X1","AFSC","Active","Airborne Cryptologic Language Analyst","Operates, evaluates, and manages airborne signals intelligence information systems and operations activities and related ground processing activities. Performs identification, acquisition, recording, translating, analyzing, and reporting of assigned voice communications. Provides signals intelligence threat warning support and interfaces with other units. Performs and assists in mission planning. Maintains publications and currency items. Maintains and supervises communication nets. Transcribes, processes, and conducts follow-up analysis of assigned communications.",NULL
"Air Force","Enlisted","1A8X2","AFSC","Active","Airborne Intelligence, Surveillance and Reconnaissance (ISR) Operator","Flies as primary aircrew onboard a wide variety of aircraft to operate, evaluate and manage airborne ISR information and related ground processing systems. Performs identification, acquisition, recording, analysis and reporting of assigned ISR tasks. Provides ISR threat warning support and interfaces with other units. Performs and assists with mission planning. Maintains assigned publications and currency items. Participates in theater and tactical-level ISR coordination networks. Processes, analyzes and disseminates ISR information obtained from onboard sensors during missions in progress.",NULL
"Air Force","Enlisted","1C0X2","AFSC","Active","Aviation Resource Management","Performs and manages aircrew and parachutist resource management functions related to scheduling, standardization and evaluation, flying and ground training, flight records, and squadron operations. Operates and maintains the Air Force operations resource management system (AFORMS).",NULL
"Air Force","Enlisted","1C1X1","AFSC","Active","Air Traffic Control","Controls en route and terminal air traffic by use of visual, radar, and non-radar means. Supervises and manages air traffic control (ATC) facilities.",NULL
"Air Force","Enlisted","1C2X1","AFSC","Active","Combat Control","Directs and controls the delivery and battlefield application of lethal and non-lethal airpower. Uses visual and electronic aids to control airhead in the area of responsibility (AOR). Establishes long-range command and control communications and intelligence (C3I) nets.",NULL
"Air Force","Enlisted","1C3X1","AFSC","Active","Command Post","Manages and performs activities within command posts (CP), operations centers, rescue coordination centers, and command centers. Provides command, control, communications, and information support. Receives and relays command and control (C2) instructions and records, and collects, processes, and submits manual and automated data products. Establishes procedures for operational reports, readiness reports, and the Status of Resources and Training System (SORTS) report. Reports international treaty compliance information. Uses communications systems and consoles to affect positive control of assigned forces and weapons systems. Ensures compliance with CP policies and procedures.",NULL
"Air Force","Enlisted","1C4X1","AFSC","Active","Tactical Air Control Party (TACP)","Directly assists, controls, enables, and executes operational air and space power functions in the forward battlespace independent of an established airbase or its perimeter defenses. May be employed alone or as part of an Air Force, joint, interagency or coalition force, to support Combatant Commander?s objectives and may operate under the most austere conditions for extended periods. Performs and manages Tactical Air Control Party (TACP) and Air Support Operations Center (ASOC) operations. Member of Battlefield Airman career field grouping.",NULL
"Air Force","Enlisted","1C5X1","AFSC","Active","Aerospace Control And Warning Systems","Manages and operates aerospace control and warning systems, including functions involving electronic countermeasures (ECM) and counter-countermeasures (ECCM), surveillance, data link management, identification, and weapons control. Provides radar control and monitoring of air weapons during offensive and defensive air operations. Makes decision in the conduct of air operations and in system equipment management.",NULL
"Air Force","Enlisted","1C6X1","AFSC","Active","Space Systems Operations","Manages or performs duties in space operations; space surveillance, space control, missile warning, satellite command and control (C2), or range operations activities.",NULL
"Air Force","Enlisted","1C7X1","AFSC","Active","Airfield Management","Supervises and performs airfield management functions and activities. Ensures airfield is safe for aircraft operations through safety inspections and coordination of all airfield activities and maintenance on the airfield. Coordinates with aircrews, air traffic control, and various base agencies to provide for safe operation of aircraft in the airfield environment and through national and international airspace.",NULL
"Air Force","Enlisted","1N0X1","AFSC","Active","Operations Intelligence","Performs and manages intelligence activities and functions including developing, evaluating, and providing intelligence information.",NULL
"Air Force","Enlisted","1N1X1","AFSC","Active","Geospatial Intelligence","Manages, supervises, and performs intelligence activities and functions including exploitation, development, and dissemination of multisensor geospatial intelligence products to support warfighting operations and other activities.",NULL
"Air Force","Enlisted","1N2X0","AFSC","Active","Signals Intelligence","Superintends Signals Intelligence (SIGINT) activities.",NULL
"Air Force","Enlisted","1N2X1","AFSC","Active","Communication Signals Intelligence","Acquires, processes, identifies, analyzes, and reports on electromagnetic emissions. Operates electronic equipment and computer systems to exploit signals intelligence production efforts.",NULL
"Air Force","Enlisted","1N3X1","AFSC","Active","Cryptologic Language Analyst","Performs, supervises and directs the acquisition, recording, transcription, analysis, and dissemination of voice and graphic communications derived information.",NULL
"Air Force","Enlisted","1N4X1","AFSC","Active","Network Intelligence Analyst","Exploits network intelligence information to develop communications structures for targeting exploitation and situational awareness. Analyzes intelligence information through research and assessment to determine adversarial actions and intentions. Drafts and disseminates long-term and time-sensitive intelligence reports to consumers worldwide.",NULL
"Air Force","Enlisted","1N5X1","AFSC","Active","Electronic Signals Intelligence Exploitation","Operates, performs, and manages electronic signals intelligence exploitation activities and functions. Operates electronic monitoring, analysis, and related equipment. Analyzes, processes, and derives intelligence from electromagnetic emissions.",NULL
"Air Force","Enlisted","1P0X1","AFSC","Active","Aircrew Flight Equipment","Manages, performs, and schedules inspections, maintenance, and adjustments of assigned aircrew flight equipment (AFE), aircrew chemical defense equipment (ACDE), and associated supplies, and inventories assets. Prepares, maintains, and monitors AFE operations. Disassembles, assembles, inspects, fabricates, cleans, repairs, and packs aerospace weapon system components such as protective clothing, flotation equipment, emergency evacuation systems, and parachutes. Schedules, supervises, and conducts aircrew chemical defense and aircrew continuation training. Prepares for response to use of chemical, biological, radiological, and nuclear weapons contamination and supervises and conducts contamination control area processing.",NULL
"Air Force","Enlisted","1S0X1","AFSC","Active","Safety","Manages and conducts safety programs. Plans, organizes, directs, and controls safety activities. Analyzes mishap causes and trends, and assesses risk. Evaluates, inspects, and surveys areas and activities to eliminate mishap potentials. Conducts mishap investigations. Provides risk management consultation. Conducts safety education.",NULL
"Air Force","Enlisted","1T0X1","AFSC","Active","Survival, Evasion, Resistance, and Escape (SERE)","Develops, conducts, and manages Air Force survival, evasion, resistance, and escape (SERE) programs. Develops, conducts, manages, and evaluates SERE Code of Conduct training (CoCT), Code of Conduct Continuation training (CoCCT), and combat search and rescue (CSAR) and personnel recovery (PR) operations. Conducts operational testing on and instructs the use of SERE related equipment. Performs and instructs basic, advanced, and emergency military parachuting. Coordinates SERE activities and conducts observer and controller duties during CSAR/PR exercises.",NULL
