skill_name,skill_id,belongs_to,source
"""Secret"" security clearance",28156,28156,manual
(CISCO) Certificate Introduction to Computer Maintenance and Repair,20542,20542,manual
(CLS) Combat Life Saving,35089,35089,manual
(Physical) Access Control Procedures,1529,1529,manual
"(Physical) Access Control Procedures, Electronic Data Security, Classified Information and Materials Security",29707,29707,manual
(Physical) Access control procedures,29624,29624,manual
(SDM) Medical Ticketing System,37875,37875,manual
(SHARP) Sexual Assault Prevention trainer,45165,45165,manual
"(Short Animation): Helping Hand; Assistant Director, Visual Effects, Compositing, Editing, Sound Design (Short Animation): Rev-It; Visual Effects, Editing, Compositing, Sound Design *Freelance Photographer, Graphic Designer (Published): Author: Alice Lebron, Sacramento Magazine, River Bend Magazine, Poster Designs Wedding Photography, Sacramento Kings *Director of Photography & Compositor Sacramento Film Festivals, Alchemy Fx Sacramento, California Area film festivals; (Short Films): Pressure, Bad Toy, Love by Death, Skin, Envy, Tailypo, Sinners and Saints, Shadow over Sacramento;Responsible for story boarding with Directors and organizing the layout and set up of camera shots to include lighting. Also coordinated shot set up for visual effects compositing. *The Agency at SCC; Senior Photographer Graphic Communication Studio: Oversaw the photography studio during setup and monitored the use of studio equipment, ensuring safety.",28055,28055,manual
(UPL) Drug @ Alcohol prevention Trainer,37938,37938,manual
"* Experience in processing payments, and account reconciliations.",43584,43584,manual
"* Experience with: Active directory software, Automated installation software, Backup and archival software, Calendar and scheduling software, Computer tool kits, Configuration management software, CrossTec NetOp Remote Control, Database software, Deployment software, Desktop computers, Desktop partitioning software, Disaster recovery software, Domain name system DNS software",47480,47480,manual
"* Financial planning, capital investment, budgeting and pricing.",13899,13899,manual
*Attention to detail		*Inventive 		*Welding			*Fabrication 		*Rigging			*Self Motivated 		*Hand Signaling Cranes	*Schematic/Blueprint Reading,28496,28496,manual
*Classified Information and Materials Security,32834,32834,manual
*Customer Support/Service,18670,18670,manual
*Data Entry,40320,40320,manual
*Documenting/Record Keeping,21152,21152,manual
*File System Development/Maintenance,30865,30865,manual
*Human Resources Processes,11375,11375,manual
"*Judging the Qualities of Objects, Services or People: Assesses the value, importance, or quality of things or people.",13489,13489,manual
"*Maintains military personnel financial records, including payroll, travel allowances, and reimbursements; performs related computations; prepares related reports; trains counsels evaluates and supervises military personnel with high degree of confidentiality.  *Types 60 words per minute  *Word Processing Formatting  *Payroll Services  *Personnel Scheduling Software  *Proofreading/Editing  *Message Processing Procedures  *Message Traffic Analysis  *Office Equipment Operation/Maintenance  *Documenting/Record Keeping  *File System Development/Maintenance  *Human Resources Processes  *Customer Support/Service  *Data Entry  *Classified Information and Materials Security  *Labor Relations  *Project/Program Management  *Thinking Creatively: Develops, designs, or creates new applications, ideas, relationships, systems, or products, including artistic contributions.  *Processing Information: Compiles, codes, categorizes, calculates, tabulates, audits, or verifies information or data.  *Inspecting Equipment, Structures or Materials: Inspects equipment, structures, or materials to identify the cause of errors or other problems or defects.  *Judging the Qualities of Objects, Services or People: Assesses the value, importance, or quality of things or people.  *Equipment Maintenance: Performs routine maintenance on equipment and determines when and what kind of maintenance is needed.  *Operations and Control: Controls operations of equipment or systems.  *Operation Monitoring: Watches gauges, dials, or other indicators to make sure a machine is working properly.  *Quality Control Analysis: Conducts tests and inspections of products, services, or processes to evaluate quality or performance.",12072,12072,manual
*Management and hands-on experience acquired over a career with the U.S. Army,35295,35295,manual
*Office Equipment Operation/Maintenance,22552,22552,manual
*Personnel Scheduling Software,35499,35499,manual
"*Processing Information: Compiles, codes, categorizes, calculates, tabulates, audits, or verifies information or data.",27148,27148,manual
*Project/Program Management,18961,18961,manual
*Proofreading/Editing,42690,42690,manual
*Public Speaking and hands-on experience acquired over a career with the U.S. Army,11786,11786,manual
"*Quality Control Analysis: Conducts tests and inspections of products, services, or processes to evaluate quality or performance.",22353,22353,manual
*Secret Clearance,29135,29135,manual
*Skilled Communicator with proven personnel administration expertise,27344,27344,manual
"*Training/Education, including staffing, recruiting and reten¬tion, benefits, training, sales and legal issues",16674,16674,manual
*Types 60 words per minute,17942,17942,manual
*Word Processing Formatting,23300,23300,manual
+,44328,44328,manual
+1 year experience working on aircraft/flightline,24825,24825,manual
+70 WPM typing,39955,39955,manual
", Plans Examiner I,II",44767,44767,manual
"-	Able to establish patient rapport with ease, relaxed bedside manner while performing clinical competencies quickly and efficiently.",45104,45104,manual
"-	Active Listening – gives full attention to what others are saying, taking time to understand points being made, asking questions as appropriate, and not interrupting at inappropriate times",35306,35306,manual
-	Bilingual English/Spanish,45199,45199,manual
"-	Critical Thinker – uses logic and reason to identify strengths and weaknesses of alternate solutions, conclusions or approaches to a problem",12912,12912,manual
"-	Experience reviewing, charting, and ordering medications and labs with electronic medical records. Excellent computer skills, able to learn to work with & manage new software.",17427,17427,manual
"-	Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.",33472,33472,manual
-	Learning strategies – selects and uses instruction methods and procedures appropriate for the situation when learning or teaching new things,21118,21118,manual
"-	Proficiency areas: perform detailed history and physical examinations, diagnose and treat illnesses, order and interpret lab tests, perform procedures, assist in surgery, provide patient education and counseling.",24919,24919,manual
"-	Proficient in civilian computer programs to include: MS Office suite, Windows, Carepoint, Web Browsers",45504,45504,manual
"-	Proficient in military computer programs to include: AHLTA, CHCS, Essentris, DHMRSi, APEQs, Impax, Centricity",26622,26622,manual
-	Reading Comprehension – understanding sentences and paragraphs in work related documents,11204,11204,manual
-	Social Perceptiveness – awareness of others reactions and understanding why they react as they do,19812,19812,manual
"- Adheres to strict maint standards, technical data usage, tool control, haz waste disposal and safety procedures",35243,35243,manual
- Aids creation of SE infrastructure to spt integration of USMC/USN and eight international partners into 33 FW,18891,18891,manual
- Answered JSF SE shortfall; prep'd 6 NMC bowsers <8 hrs--enabled acft investigation/reclaimed 15K lbs fuel,45676,45676,manual
- Assisted emergency spill kit creation; enabled instant response to 200 gal fuel spill--safeguarded environment,24703,24703,manual
- Blueprints/Technical Diagrams,42782,42782,manual
- Built-up AGE mobility conex; stocked repair parts/tools for 37 eqmt assets--bolstered LD/HD MC rate to 98%,25974,25974,manual
- Cargo Handling,9992,9992,manual
