skill_name,moc,relevance
Accountability,DEFAULT,0.225039
Action Oriented,DEFAULT,0.225039
Challenge Driven,DEFAULT,0.225039
Combat,DEFAULT,0.225039
Command,DEFAULT,0.225039
Contingency Planning,DEFAULT,0.225039
Critical Thinking,DEFAULT,0.225039
Decision Analysis,DEFAULT,0.225039
Deductive Reasoning,DEFAULT,0.225039
Emergency Management,DEFAULT,0.225039
Fitness,DEFAULT,0.225039
Focused Execution,DEFAULT,0.225039
Guarding,DEFAULT,0.225039
Handle Confidential Information,DEFAULT,0.225039
Hands-on Training,DEFAULT,0.225039
High Pressure Situations,DEFAULT,0.225039
Inspiring Teams,DEFAULT,0.225039
Leadership Accountability,DEFAULT,0.225039
Military Training,DEFAULT,0.225039
National Security,DEFAULT,0.225039
Observational,DEFAULT,0.225039
On the Job Training,DEFAULT,0.225039
Overcoming Challenges,DEFAULT,0.225039
Overseas Experience,DEFAULT,0.225039
Physical Training,DEFAULT,0.225039
Policies & Procedures,DEFAULT,0.225039
Reliability,DEFAULT,0.225039
Risk Analysis,DEFAULT,0.225039
Situational Awareness,DEFAULT,0.225039
Strategic Thinking,DEFAULT,0.225039
Strategy Execution,DEFAULT,0.225039
Survival Skills,DEFAULT,0.225039
Tactical Operations,DEFAULT,0.225039
Task Completion,DEFAULT,0.225039
Team Coordination,DEFAULT,0.225039
Weapons Training,DEFAULT,0.225039
