military_occupation_id,job_code,preparation_needed,match_type,pay_grade
2,29-1069.07,,crosswalk,
3,43-9061.00,,crosswalk,
3,43-9022.00,,crosswalk,
4,11-3011.00,,crosswalk,
4,29-1063.00,,crosswalk,
5,11-3121.00,,crosswalk,
5,29-1062.00,,crosswalk,
6,11-3121.00,,crosswalk,
6,29-1062.00,,crosswalk,
7,29-1063.00,,crosswalk,
8,29-1065.00,,crosswalk,
9,29-1063.00,,crosswalk,
10,53-5021.02,,crosswalk,
11,29-1062.00,,crosswalk,
12,11-9111.00,,crosswalk,
13,47-1011.00,,crosswalk,
14,43-4021.00,First term,most_duties,E3
14,43-4071.00,First term,most_duties,E3
14,43-4161.00,First term,most_duties,E3
14,43-9061.00,First term,most_duties,E3
14,43-6014.00,First term,most_duties,E3
14,43-9022.00,First term,most_duties,E3
14,43-6011.00,First term,most_duties,E4
14,13-1071.00,First term plus prep,most_duties,E4
14,43-1011.00,First term plus prep,most_duties,E5
14,11-3011.00,Long term,some_duties,E5
15,29-1071.00,,crosswalk,
16,29-1066.00,,crosswalk,
17,29-1061.00,,crosswalk,
18,11-1011.00,,crosswalk,
19,29-1069.10,,crosswalk,
20,29-1069.10,,crosswalk,
21,49-2094.00,,crosswalk,
22,21-1023.00,,crosswalk,
23,11-9131.00,,crosswalk,
23,11-9111.00,,crosswalk,
23,53-5021.03,,crosswalk,
24,13-2011.01,,crosswalk,
24,11-3011.00,,crosswalk,
24,43-3031.00,,crosswalk,
24,13-2031.00,,crosswalk,
24,43-1011.00,,crosswalk,
24,11-3071.03,,crosswalk,
24,43-9051.00,,crosswalk,
24,53-7064.00,,crosswalk,
24,43-5051.00,,crosswalk,
24,43-5052.00,,crosswalk,
24,43-5053.00,,crosswalk,
24,11-9131.00,,crosswalk,
24,43-5061.00,,crosswalk,
24,13-1023.00,,crosswalk,
24,11-3061.00,,crosswalk,
24,43-5071.00,,crosswalk,
24,43-5081.01,,crosswalk,
24,43-5081.03,,crosswalk,
24,11-3071.02,,crosswalk,
24,53-5021.01,,crosswalk,
25,11-9111.00,,crosswalk,
25,29-1069.09,,crosswalk,
27,11-9111.00,,crosswalk,
27,29-1069.09,,crosswalk,
28,53-5022.00,,crosswalk,
29,11-9111.00,,crosswalk,
29,53-5021.02,,crosswalk,
30,11-3011.00,,crosswalk,
30,33-9092.00,,crosswalk,
31,15-1199.12,,crosswalk,
31,43-4161.00,,crosswalk,
31,53-5021.01,,crosswalk,
32,53-5021.01,,crosswalk,
33,53-5021.01,,crosswalk,
